azithromycin,ototoxicity
quinidine,apnea
verapamil,apnea
verapamil,atrial flutter
verapamil,bradycardia
quinidine,death
verapamil,hypotension
quinidine,long QT interval syndrome
verapamil,sudden death
Methimazole,cholestatic liver injury
methimazole,liver damage
methimazole,bile stasis
methimazole,cholestasis
methimazole,fatty liver parenchyma degeneration
methimazole,granulocytic portal infiltration
methimazole,leucopenia
papaverine,Fibrosis of corpus cavernosum
phentolamine,Fibrosis of corpus cavernosum
papaverine,penile fibrosis
phentolamine,penile fibrosis
interferon beta,pulmonary sarcoidosis
interferon beta,sarcoidosis
formalin,Fatal outcome
mebendazole,alopecia
mebendazole,granulocytopenia
sulfamethoxazole,colitis
trimethoprim,colitis
sulfamethoxazole,pseudomembranous colitis
trimethoprim,pseudomembranous colitis
vasopressin,lethal complication
vasopressin,abdominal pain
vasopressin,collapse
protamine,type I anaphylaxis
Protamine,fatal anaphylaxis
cis-platinum,Ototoxicity
lithium,nephrotoxicity
lithium,renal failure
nitroglycerin,decrease in blood flow
nitroglycerin,increase in pulmonary artery pressure
nitroglycerin,increase in pulmonary vascular resistance
nitroglycerin,Paradoxical pulmonary vasoconstriction
amiodarone,Atrioventricular block
Ampicillin,electrical decrement
Ampicillin,myasthenia gravis
ampicillin,acute exacerbations
ampicillin sodium,severe temporary weakness
theophylline,ulcer
prednisone,perforated gastric ulcer
theophylline,perforated gastric ulcer
propranolol,esophageal spasm
nifedipine,Hypotension
nifedipine,sinus arrest
diamorphine,"painful, oedematous, cyanosed hand"
methylphenidate,"painful, oedematous, cyanosed hand"
diamorphine,Ischaemia
methylphenidate,Ischaemia
hydrochlorothiazide,Chronic photosensitivity
verapamil,Cardiac decompensation
verapamil,hemodynamic decompensation
amiodarone,neuropathy
amiodarone,pleural and pericardial effusion
amiodarone,Pneumonitis
Heparin,hyperkalemia
heparin,skin necrosis
insulin,edema
Insulin,cardiac failure
insulin,Self-limited edema
pyridoxine,seizures
pyridoxine,acute hypotonia
oxacillin,severe cholestasis
oxacillin,reversible cholestatic jaundice
isoniazid,pellagra
isoniazid,Pellagra encephalopathy
isoniazid,"mental, neurological or gastrointestinal symptoms"
aspirin,RS
aspirin,Reye syndrome
diltiazem,Atrial fibrillation
verapamil,syncope
Amiodarone,dysthyroidism
propranolol,decrease in heart rate
propranolol,paroxsymal increase in blood pressure
Propranolol,hypertension
chlorambucil,central nervous toxicity
chlorambucil,EEG abnormalities
fenclofenac,IgA deficiency
aurothiomalate,IgA deficiency
sulphasalazine,IgA deficiency
lithium,movement disorder
trazodone,movement disorder
trazodone,involuntary movements
benzodiazepine,coma
benzodiazepine,Spindle coma
imipramine,spindle coma
rifampicin,renal insufficiency
rifampicin,Renal failure
desferrioxamine,Cerebral and ocular toxicity
desferrioxamine,neurological effects
prochlorperazine,neurological effects
prochlorperazine,lost consciousness
desferrioxamine,retinal problems
Gold,nephropathy
gold,renal disease
gold,proteinuria
Intralipid,fat embolism
methotrexate,bilateral pulmonary infiltrates
methotrexate,diffuse interstitial pulmonary fibrosis
methotrexate,hepatotoxicity
methotrexate,granulomas
methotrexate,Pulmonary eosinophilia
adenine arabinoside,hyponatremia
adenine arabinoside,syndrome of inappropriate antidiuretic hormone
adenine arabinoside,Inappropriate antidiuretic hormone
methotrexate,abdominal pain
methotrexate,bone pain
methotrexate,elevated liver transaminases
methotrexate,mild neutropenia
methotrexate,mild pruritus
methotrexate,nausea
carbamazepine,Dystonia
carbamazepine,opisthotonus
methazolamide,agranulocytosis
methazolamide,Aplastic anemia
acetazolamide,aplastic anemia
5-fluorouracil,Squamous-cell carcinoma
5-FU,squamous-cell carcinoma
methysergide maleate,arterial insufficiency
methysergide,migraine headaches
Rifampicin,Erythema Multiforme Bullosum
lithium carbonate,Renal damage
psoralens,squamous cell carcinoma
propranolol,diabetic coma
propranolol,Hyperglycemia
thiazide,diabetic coma
acetazolamide,severe acidosis
aspirin,tracheal compression
clindamycin,pseudomembranous colitis
Bromocryptine,lost vision
formalin,Fatal acute tubular necrosis
formalin,Fatal complication
formic acid,metabolic acidosis
amoxapine,galactorrhea
dibenzoxazepine,galactorrhea
ibuprofen,15-kg weight gain
ibuprofen,Edema
ibuprofen,salt and water retention
indomethacin,salt and water retention
phenylbutazone,salt and water retention
Allopurinol,hand and foot deformities
allopurinol,Telescoped digits of the hands and feet
amphotericin B,acute toxic delirium
amphotericin B,EEG abnormalities
amphotericin B,Neurotoxicity
Bleomycin,aortic wall in this case was damaged
doxorubicin,cardiomyopathy
Doxorubicin,cardiotoxicity
ouabain,Minor electrocardiographical changes
digoxin,cardiomyopathy
ouabain,cardiomyopathy
sulindac,isolated idential sensory neuropathy
Clinoril,neurologic toxic effects
Sulindac,neurologic toxic effects
sulindac,isolated paresthesia
sulindac,peripheral neuropathy
serine,psychotic symptoms
ergotamine,arteriospasm
ergot,arteriospasm
ergot,gangrene of the extremities
haloperidol,hyperpyrexia
lithium,hyperpyrexia
haloperidol,irreversible tardive dyskinesia
lithium,irreversible tardive dyskinesia
haloperidol,mutism
lithium,mutism
haloperidol,severe rigidity
lithium,severe rigidity
thioridazine,lithium toxicity
lithium,neuroleptic malignant extrapyramidal syndrome
thioridazine,neuroleptic malignant extrapyramidal syndrome
Chlorambucil,chromosome damage
dextrose,Anaphylactoid reaction
dextrose,increased histamine release
Salicylate,hepato toxicity
aspirin,anicteric hepatitis
bleomycin,encephalopathy
cisplatinum,encephalopathy
vinblastine,encephalopathy
bleomycin,left homonymous hemianopsia
cisplatinum,left homonymous hemianopsia
vinblastine,left homonymous hemianopsia
bleomycin,partial nondominant parietal lobe syndrome
cisplatinum,partial nondominant parietal lobe syndrome
vinblastine,partial nondominant parietal lobe syndrome
bleomycin,Transient left homonymous hemianopsia
cisplatinum,Transient left homonymous hemianopsia
vinblastine,Transient left homonymous hemianopsia
propylthiouracil,eosinophilia
PTU,eosinophilia
propylthiouracil,granulocytopenia
PTU,granulocytopenia
propylthiouracil,hepatitis
PTU,hepatitis
propylthiouracil,skin reaction
PTU,skin reaction
propylthiouracil,lymphocyte sensitization
pentobarbital,ataxia
pyrilamine maleate,ataxia
pentobarbital,depressed level of consciousness
pyrilamine maleate,depressed level of consciousness
pentobarbital,marked irritability
pyrilamine maleate,marked irritability
pentobarbital,toxic encephalopathy
pyrilamine maleate,toxic encephalopathy
penicillamine,Optic neuropathy
D-penicillamine,Optic neuropathy
Accutane,acute myopia
isotretinoin,acute myopia
Accutane,transient myopia
accutane,Transient acute myopia
isotretinoin,Transient acute myopia
benzoin,Allergic contact dermatitis
Ara-C,herpesvirus infection
cytarabine,herpesvirus infection
cytosine arabinoside,herpesvirus infection
cytarabine,cutaneous herpes zoster
cytarabine,Visceral herpesvirus infections
gold,neuropathy
B663,Intra-neural ceroid-like pigment
clofazimine,Intra-neural ceroid-like pigment
Lamprene,Intra-neural ceroid-like pigment
clofazimine,ceroid-like pigment
methyl G: CALGB,Severe neurotoxicity
nortriptyline,sinus tachycardia
ACTH,cerebral atrophy
cefmenoxime,Disulfiram-like reactions
cefmenoxime,disulfiram-like reaction
lithium,akathisia
lithium,bucco-linguo-masticatory dyskinesia
silver sulfadiazine,Acute leukopenia
prednisone,disseminated histoplasmosis
captopril,Acute renal failure
captopril,nonoliguric acute renal failure
Captopril,acute reversible renal failure
fluoxetine,mania
fluoxetine,manic episode
cyclophosphamide,Alopecia
cyclophosphamide,nausea
cyclophosphamide,vomiting
5-fluorouracil,Haemolytic-uraemic syndrome
mitomycin C,Haemolytic-uraemic syndrome
5-fluorouracil,acute renal toxicity
mitomycin C,acute renal toxicity
25-hydroxyvitain D3,ileal resection
cholestyramine,osteomalacia
lithium,tremor
lithium carbonate,tremor
diazepam,seizures
phenytoin,transient hemiparesis
phenytoin,focal neurological deficit
2-propylpentanoic acid,severe unilateral grand mal seizure
phenobarbitone,severe unilateral grand mal seizure
valproate,severe unilateral grand mal seizure
VPA,severe unilateral grand mal seizure
Cefoxitin,granulomatous hepatitis
gold sodium thiomalate,Stroke-like syndrome
gold sodium thiomalate,vasomotor reaction
gold sodium thiomalate,Vasomotor reactions
auranofin,Gold nephropathy
Gold,Gold nephropathy
tolmetin,Gold nephropathy
tolmetin,pseudoproteinuria
sodium aurothiomalate,cough
sodium aurothiomalate,dyspnea
sodium aurothiomalate,low-grade fever
gold,Pulmonary gold toxicity
Cyclophosphamide,fibrosis
Cyclophosphamide,interstitial pneumonitis
Cyclophosphamide,pneumonitis
cyclophosphamide,lung disease
cyclophosphamide,respiratory insufficiency
disulfiram,reversible toxic liver damage
disulfiram,Toxic hepatitis
clioquinol,acrodermatitis enteropathica
clioquinol,SMON
tamoxifen,retinal changes
Tamoxifen,retinopathy
tamoxifen,corneal and retinal changes
D-penicillamine,Mammary gigantism
ampicillin,seizures
rifampicin,skin lesions
rifampicin,Pemphigus foliaceus
lorcainide,Hyponatremia
lorcainide,decrease in serum Na+
lorcainide,SIADH
hydrochlorothiazide,severe hyponatremia
lorcainide,hypoosmolality
chlorpropamide,Acute intravascular hemolysis
glyburide,Acute intravascular hemolysis
Chlorpropamide,hemolytic anemia
amiodarone,interstitial pneumopathy
propranolol,Alternating sinus rhythm
propranolol,intermittent sinoatrial block
propranolol,intermittent sinoatrial (S-A) block
propranolol,abnormal rhythm
propranolol,conduction disorder
methylprednisolone,anaphylactoid reaction
CCNU,pulmonary toxicity
CCNU,Pulmonary fibrosis
CCNU,fatal pulmonary fibrosis
busulfan,Additive pulmonary toxicity
melphalan,Additive pulmonary toxicity
busulfan,severe interstitial lung fibrosis
melphalan,severe interstitial lung fibrosis
cholestyramine II,confusion
cholestyramine II,drowsiness
cholestyramine II,lethargy
Cholestyramine,hyperchloremic metabolic acidosis
DCF,immunosuppression
DCF,superinfection
DCF,conjunctivitis
DCF,keratitis
DCF,ocular toxicity
vasopressin,renal damage
vasopressin,skeletal muscle ischemia
vasopressin,acute renal failure
vasopressin,Myoglobinuria
amphotericin B,nephrotoxicity
amphotericin B,impaired renal function
fluoresone,Gynecomastia
phenobarbital,Gynecomastia
phenytoin,Gynecomastia
amoxapine,dyskinesia
amoxapine,oral-facial dyskinesia
etretinate,toxic hepatitis
methotrexate,toxic hepatitis
hydrochlorothiazide,hyponatremia
scopolamine,unilateral acute angle-closure glaucoma
deanol,tardive dyskinesia
Cephalosporins,Vitamin K deficiency
cephalosporin,Coagulopathy
moxalactam,Coagulopathy
Moxalactam,platelet dysfunction
"1,3-bis(2-chloroethyl)-1-nitrosourea",Fatal pulmonary fibrosis
penicillamine,Thrombotic thrombocytopenic purpura
penicillamine,TTP
Amiodarone hydrochloride,cough
Amiodarone hydrochloride,diffuse pulmonary infiltrates
Amiodarone hydrochloride,dyspnea
Amiodarone hydrochloride,pulmonary toxicity
amiodarone,fibrosing alveolitis
theophylline,gynecomastia
verapamil,sustained hypotension
fenoprofen,pure red cell aplasia
fenoprofen,erythroid aplasia
quinacrine hydrochloride,psychosis
trazodone,priapism
paracetamol,severe hepatic necrosis
zomepirac,Anaphylactoid shock
zomepirac,anuric renal failure
zomepirac,disseminated intravascular coagulation
zomepirac,Focal renal cortical necrosis
zomepirac,anaphylactoid reaction
Cimetidine,fever
cinepazide,behavioral change
Amphojel,small-bowel obstruction
phenytoin,periodic alternating nystagmus
gold-salt,nephropathy
Gold-salt,damage to proximal tubules
gold,nephrotic syndrome
glibenclamide,cutaneous bullae
glibenclamide,Intrahepatic cholestasis
chlorpropamide,intrahepatic cholestasis
ergonovine,spasm
propranolol,delirium
propranolol,grand mal seizure
propranolol,photosensitivity
disulfiram,Catatonia
disulfiram,catatonic syndrome
cyclofenil,Hepatic reactions
theophylline,peptic ulcer disease
desipramine,SIADH
rifampin,tubular and interstitial lesions
rifampin,renal lesions
isoniazid,acute renal failure
tolmetin,Nephrotic range pseudoproteinuria
isoniazid,histamine reaction
disulfiram,Fulminant hepatitis
disulfiram,fatal fulminant hepatitis
propylthiouracil,agranulocytosis
thiabendazole,prolonged jaundice
thiabendazole,sicca complex
thiabendazole,Intrahepatic cholestasis
thiabendazole,cholestasis
Adriamycin,Adriamycin toxicity
doxorubicin,Adriamycin toxicity
Adriamycin,died
doxorubicin,died
L-asparaginase,focal seizures
L-asparaginase,Intracranial hemorrhage
asparaginase,Dural sinus thrombosis
prednisone,Dural sinus thrombosis
vincristine sulfate,Dural sinus thrombosis
asparaginase,antithrombin III deficiency
penicillamine,lupus erythematosus
penicillamine,Systemic lupus erythematosus
prednisone,Cushingoid features
disopyramide,fasting hypoglycemia
Disopyramide,hypoglycemia
Norpace,hypoglycemia
Cefoxitin,renal failure
cefoxitin,acute tubular necrosis
gentamicin,acute tubular necrosis
cefoxitin sodium,acute deterioration of renal function
SQ 14225,Transient anuria
captopril,acute renal impairment
captopril,transient anuria
amiodarone,atypical ventricular tachycardia
disopyramide,atypical ventricular tachycardia
quinidine,atypical ventricular tachycardia
amiodarone,AVT
disopyramide,AVT
quinidine,AVT
disopyramide,torsade de pointes
quinidine,torsade de pointes
disopyramide,arrhythmia
quinidine,arrhythmia
disopyramide,syncope
dopamine,coronary vasoconstriction
hydroxychloroquine,nephrosis
cimetidine,Hepatitis
cimetidine,hepatic dysfunction
cimetidine,impaired macrophage migration
digoxin,complete atrioventricular block
Verapamil,angina pectoris
Flucytosine,diarrhea
flucytosine,marked separation of loops of bowel
flucytosine,severe luminal narrowing
flucytosine,ulcerating enteritis
flucytosine,ulceration
perhexiline maleate,Papilledema
L-asparaginase,acute pancreatitis
L-asparaginase,pseudocyst of the pancreas
L-asparaginase,Delayed pseudocyst of the pancreas
DCA,decrease in blood lactate levels
lithium,delirious
lithium,delirium
arginine,hyperkalemia
arginine monohydrochloride,Marked hyperkalemia
gold,lichen planus
gold,Acne
gold,skin disturbances
lithium,Secondary hyperparathyroidism
lithium,biochemical hyperparathyroidism
disopyramide phosphate,CHB
Norpace,CHB
disopyramide phosphate,complete heart block
Norpace,complete heart block
Disopyramide,heart block
bretylium,cardiac arrest
bretylium,ventricular arrhythmia
bretylium,ventricular tachycardia
bretylium,cardiac arrests
bretylium,fibrillation
bretylium,Paradoxical ventricular tachycardia
Lithium,acute renal failure
Lithium,nephrotic syndrome
Lithium,proteinuria
Lithium,tubulo-interstitial disease
ampicillin,diarrhea
vincristine,sensori-neural hearing loss
vincristine,Acute acoustic nerve palsy
vincristine,Bilateral acoustic (VIII) nerve palsy
timolol,heart failure
timolol maleate,Bradycardia
timolol maleate,congestive heart failure
timolol,dyspnea
timolol,sinus bradycardia
digoxin,Fatal ventricular fibrillation
digoxin,functional impairment
digoxin,left ventricular dilatation
digoxin,ventricular fibrillation
L-dopa,rapid mood cycling
L-dopa,shortened the manic-depressive cycle
perhexiline maleate,Liver disease
perhexiline maleate,fatal perhexiline maleate liver injury
dihydroxybusulfan,Acute non-lymphocytic leukemia
Treosulfan,Acute non-lymphocytic leukemia
Treosulfan,acute leukemia
Propranolol,bronchospasm
Propranolol,central nervous system dysfunction
propranolol,central nervous system disturbances
methotrexate,Interstitial fibrosis of the lung
methotrexate,Progressive interstitial fibrosis
methotrexate,Progressive interstitial lung disease
quinine,Abnormalities of the pupil
quinine,amblyopia
quinine,abnormal visual-evoked potentials
quinine,denervation supersensitivity
quinine,transient tonic pupillary response
quinine sulfate,abnormal visual-evoked potentials
quinine sulfate,denervation supersensitivity
quinine sulfate,Total blindness with a transient tonic pupillary response
practolol,sclerosing peritonitis
niflumic acid,skeletal fluorosis
niflumic acid,fluorosis
niflumic acid,densification of trabecular bone
D-penicillamine,Hepatotoxicity
metformin,miliary tuberculosis
Para-aminosalicylic acid,hypoglycaemia
PAS,hypoglycaemia
para-aminosalicylic acid,hypoglycaemic coma
PAS,hypoglycaemic coma
perhexiline maleate,hepatic dysfunction
perhexiline maleate,papilloedema
Pexid,hepatic dysfunction
Pexid,Papilloedema
5-fluorouracil,increased pigmementation of skin
5-fluorouracil,pigmentary changes
Disulfiram,catatonia syndrome
Disulfiram,encephalopathy
vinblastine,Inappropriate antidiuretic hormone secretion
vinblastine,inappropriate secretion of antidiuretic hormone
emepronium bromide,oesophageal damage
emepronium bromide,Oesophageal ulceration
miconazole,Cardiorespiratory toxicity
doxorubicin,cardiac arrest
miconazole,cardiorespiratory and anaphylactic reactions
Clofibrate,myopathy
hycanthone,Hepatotoxicity
hycanthone,severe hepatotoxicity
chlorambucil,Fatal interstitial pneumonitis
chlorambucil,respiratory distress
barbiturate,submassive hepatic necrosis
barbiturates,submassive hepatic necrosis
procainamide,granulocytopenia
procainamide,reversible granulocytopenia
diphenylhydantoin,Monoclonal gammopathy
diphenylhydantoin,multiple myeloma
DILANTIN,IgG lambda-type monoclonal gammopathy
diphenylhydantoin,IgG lambda-type monoclonal gammopathy
DILANTIN,multiple myeloma
Atovaquone,vortex keratopathy
naloxone,severe pain
naloxone,withdrawal syndrome
methimazole,ACC
MMI,ACC
methimazole,aplasia cutis congenita
MMI,aplasia cutis congenita
flecainide,acute reversible encephalopathy
flecainide,Acute reversible ataxo-myoclonic encephalopathy
methotrexate,bone marrow aplasia
MTX,bone marrow aplasia
methotrexate,severe skin rash
MTX,severe skin rash
MTX,extensive skin rash
MTX,acute hypersensitivity reaction
MTX,severe dermatologic toxicity
Chlormadinone acetate,withdrawal syndrome
metronidazole,myopia
sulphonamide,myopia
griseofulvin,Nephrotic syndrome
griseofulvin,systemic lupus erythematosus
griseofulvin,lupus
gold,Neurological side effects
gold sodium thiomalate,mild nitritoid symptoms
GSTM,mild nitritoid symptoms
gold sodium thiomalate,pain
GSTM,pain
gold sodium thiomalate,T10-T12 dermatomes
GSTM,T10-T12 dermatomes
ketoralac,Acute sensorineural hearing loss
methotrexate,sensorineural hearing loss
PAN,sensorineural hearing loss
ketorolac,ototoxicity
ketoralac,bilateral sensorineural hearing loss
cisplatin,Anaphylactoid reactions
cisplatin,100 mg/m2
cisplatin,edema
cisplatin,palmar pruritus
cisplatin,urticaria
Etoposide,myocardial infarction
acyclovir,acute renal failure
interferon alfa,Anterior ischemic optic neuropathy
interferon alfa,"sudden bilateral, sequential visual loss"
interferon,vascular retinopathy
amitriptyline,neuroleptic malignant syndrome
lithium carbonate,neuroleptic malignant syndrome
levothyroxine,increased serum thyroid-stimulating hormone
adenosine,arrhythmia
adenosine,alterations in heart rate
propranolol,disorientation
propranolol,temporary amnesia
propafenone,transient global amnesia
aspirin,acute subdural haematoma
aspirin,Intracranial haemorrhage
fluvoxamine,akathisia
fluoxetine,Extrapyramidal side effects
sertraline,Extrapyramidal side effects
bleomycin,interstitial pneumonitis
bleomycin,lung toxicity
gold,neutropenia
gold,severe neutropenia
amphotericin B,Arrhythmias
amphotericin B,cardiac arrest
amphotericin B,cardiac arrhythmia
amphotericin,cardiac arrest
lithium,angry outbursts
lithium,irritability
interferon,Graves' hyperthyroidism
interferon,transient thyrotoxicosis
IFN,Graves' hyperthyroidism
INH,neurotoxicity
isoniazid,neurotoxicity
INH,seizures
INH,refractory seizures
phenylephrine,Arterial hypertension
progestin,Squamous metaplasia
progestin,squamous metaplasia within endometrial glands
furosemide,Fever
KW-2149,pulmonary toxicity
cyclophosphamide,Musculoskeletal complaints
ifosfamide,Musculoskeletal complaints
ifosfamide,Fanconi syndrome
benzarone,cirrhosis
benzarone,hepatotoxicity
benzarone,(sub)fulminant hepatitis
benzarone,Severe hepatotoxicity
benzarone,severe chronic active hepatitis
warfarin,necrotizing fasciitis
sodium warfarin,myonecrosis
sodium warfarin,necrotizing fasciitis
mefloquine,severe hypoglycaemia
mefloquine,hypoglycaemia
quinidine,iatrogenic hypoglycaemia
Quinine,iatrogenic hypoglycaemia
sumatriptan,coronary artery vasospasm
sumatriptan,Cardiac arrest
Sotalol,bradycardia
tamoxifen,Secretory endometrial adenocarcinoma
tamoxifen,low-grade endometrial carcinoma
tamoxifen,uterine neoplasia
tamoxifen,secretory carcinoma of the endometrium
tamoxifen,endometrial adenocarcinoma of the secretory type
omeprazole,Esophageal candidiasis
dipyridamole,High-grade atrioventricular block
dipyridamole,high-grade atrioventricular (AV) block
doxorubicin,symptomatic cardiac failure
tamoxifen,Ovarian endometrioid carcinoma
levamisole,Cerebral demyelinating disease
levamisole,Multifocal inflammatory leukoencephalopathy
5-fluorouracil,leukoencephalopathy
levamisole,leukoencephalopathy
ethanolamine oleate,noncardiogenic pulmonary edema
EO,noncardiogenic pulmonary edema
gentamicin sulfate,acute renal failure
Gentamicin,acute renal failure
gentamicin,Renal failure
phenytoin,unilateral gingival hyperplasia
PHT,unilateral gingival hyperplasia
aminotriazole,generalized cutaneous sclerosis
bromocil,generalized cutaneous sclerosis
diuron,generalized cutaneous sclerosis
Albuterol,cardiac toxicity
Albuterol,hypokalemia
salbutamol,Hypokalemia
albuterol,hypokalemic
Propoxyphene,wide complex dysrhythmia
Propoxyphene,wide QRS complex dysrhythmia
mannitol,nephrotoxicity syndrome
mannitol,ARF
mannitol,acute renal failure
mannitol,nephrotoxicity
mannitol,anuric ARF
fluphenazine decanoate,extrapyramidal side effects
benzodiazepine,sedation
quinapril,irritating cough
quinapril,Cough
PSL,Fracture of the femoral neck
Cefuroxime,acute renal failure
cefuroxime,DIAN
cefuroxime,renal deterioration
phenytoin,basilar invagination
phenytoin,mid-line skeletal abnormalities
phenytoin,craniocervical abnormality
methotrexate,Temporary neurologic abnormalities
HD-MTX,altered consciousness
HD-MTX,dysarthria
HD-MTX,hemiparesis
methotrexate,Transient neurological disturbances
high-lipase pancreatin,stricture of the hepatic flexure region with associated narrowing
high-lipase pancreatin,submucosal fibrosis of the transverse colon
danazol,Acute pancreatitis
danazol,hepatocellular damage
danazol,Hypo-oestrogenic and anabolic/androgenic side-effects
Acyclovir,neurotoxicity
Acyclovir,neurologic symptoms
promethazine,coma
metronidazole,Amebic abscess of the spleen
metronidazole,neurotoxicity
metronidazole,ataxia
metronidazole,liver abscess
metronidazole,reversible deafness
metronidazole,splenic abscess
metronidazole,tinnitus
Actinomycin D,hepatic veno-occlusive disease
AMD,liver failure
Phenylpropanolamine,psychosis
PPA,paranoid psychosis
PPA,psychiatric adverse effects
budesonide,contact dermatitis
methyl nitrite,methemoglobinemia
phenylpropanolamine,Methemoglobinemia
IFN,IDDM
IFN,moderate hyperglycemia
IFN,severe ketonuria
interferon,IDDM
nortriptyline,Recurrent hypotension
nortriptyline,seizures
methotrexate,accelerate HIV disease
MTX,accelerate HIV disease
5-FU,increase of INR
levamisole,increase of INR
warfarin,increase of INR
5-FU,increase in INR
warfarin,increase in INR
clindamycin,Cholestatic liver disease
trimethoprim-sulfamethoxazole,Cholestatic liver disease
clindamycin,ductopenia
trimethoprim-sulfamethoxazole,ductopenia
clindamycin,vanishing bile duct syndrome
trimethoprim-sulfamethoxazole,vanishing bile duct syndrome
clindamycin,bile duct injury
clindamycin,bile duct paucity
clindamycin,marked cholestasis
clindamycin,portal inflammation
trimethoprim-sulfamethoxazole,cholestasis
trimethoprim-sulfamethoxazole,duct paucity
ampicillin,cholestasis
ampicillin,cholestatic hepatitis
ampicillin,duct paucity
isoniazid,vision loss
Ethambutol,development of visually related side effects
isoniazid,development of visually related side effects
ethambutol,ocular toxicity
ethambutol,Toxic optic neuropathy
zidovudine,fetal damage
zidovudine,fetotoxic
zidovudine,teratogenic
zidovudine,fetal abnormality
zidovudine,first trimester abortions
Zidovudine,birth defects
Celiprolol,pneumonitis
celiprolol,hypersensitivity pneumonitis
Ibopamine,leukopenia
ibopamine,Reversible leukopenia
Diphenylhydantoin,acute intermittent porphyria
diphenylhydantoin,porphyria
bromocriptine,schizophrenia
methotrexate,Concurrent acute megaloblastic anaemia
methotrexate,acute megaloblastic anaemia
Levemepromazine,respiratory distress syndrome
methotrimeprazine meleate,respiratory distress syndrome
phenothiazine,respiratory distress syndrome
apomorphine,dyskinesias
levo-dopa,diphasic dyskinesias
didanosine,Fulminant hepatitis
didanosine,severe lactate acidosis
ddI,fulminant hepatitis
ddI,fulminant hepatic failure
AgNO3,Generalized argyria
fluoxetine,seizures
fluoxetine,headache
carbamazepine,psoriasiform eruptions
Sodium valproate,psoriasiform eruptions
carbamazepine,psoriasiform eruption
sodium valproate,psoriasiform eruption
BCNU,Severe diffuse interstitial pneumonitis
carmustine,Severe diffuse interstitial pneumonitis
BCNU,fatal case of acute interstitial pneumonitis
carmustine,fatal case of acute interstitial pneumonitis
procainamide,shocks
procainamide,Electrical proarrhythmia
procainamide,electrophysiologic effect
valproic acid,altered mental status
valproic acid,lethargy
meperidine,Central nervous system toxicity
meperidine,accumulation of the parent drug
meperidine,CNS depressive effects
Meperidine,accumulation of the active metabolite normeperidine
Meperidine,central nervous system (CNS) excitatory toxicities
morphine,hypertension
morphine,intracerebral hemorrhage
morphine,respiratory failure
morphine,status epilepticus
Mitomycin C,hemolytic-uremic syndrome
MMC,hemolytic-uremic syndrome
MMC,HUS
mitomycin C,Pulmonary hemorrhage
MMC,Pulmonary hemorrhage
MMC,massive pulmonary bleeding
Clonidine,bradycardia
clonidine,constipation
clonidine,dry mouth
clonidine,hypotension
cotrimoxazole,elevation of serum creatinine and blood urea
cotrimoxazole,hyperkalaemia
cotrimoxazole,increased urinary N-acetyl glucosaminase
cotrimoxazole,one patient became unconscious
co-trimoxazole,Hyperkalaemia
sulfamethoxazole-trimethoprim,Hyperkalaemia
co-trimoxazole,renal tubular dysfunction
sulfamethoxazole-trimethoprim,renal tubular dysfunction
nitrous oxide,subacute combined degeneration of the spinal cord
nitrous oxide,Neurologic degeneration
nitrous oxide,neurologic deterioration
Fluoxetine,sexual dysfunction
Captopril,bone marrow suppression
captopril,Neutropenia
magnesium sulfate,lactogenesis
magnesium sulfate,impeded lactogenesis
goserelin acetate,flare-up
goserelin acetate,severe dyspnea
goserelin acetate,worsening pleuritis carcinomatosa
Imidazoline,Imidazoline intoxication
L-asparaginase,aphasia
L-asparaginase,Cerebrovascular complications
L-asparaginase,neuropsychological deficits
L-asparaginase,cerebral thrombosis
L-asparaginase,coagulation protein deficiencies
L-asparaginase,hemorrhage
L-dopa,Myoclonus
L-dopa,seizures
levodopa,Myoclonus
levodopa,seizures
L-dopa,generalized seizures
acyclovir,excessive maternal and physician anxiety
lithium,exophthalmos
lithium,thyrotoxic ophthalmopathy
lithium,severe exophthalmos
lithium,thyrotoxicosis
clofazimine,abdominal pain
Amphotericin B,fatal
amphotericin B,cardiac arrhythmias
amphotericin B,mortality
amphotericin B,Cardiac complications
cyclosporine,Hypertension
prednisone,Hypertension
sweet spirits of nitre,Sudden death
4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol,acute methemoglobinemia
sweet spirits of nitre,acute methemoglobinemia
4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol,died
sweet spirits of nitre,died
4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol,hypoxemia
sweet spirits of nitre,hypoxemia
4% ethyl nitrite CH3CH2ONO in 70% ethyl alcohol,severe anoxic metabolic acidosis
sweet spirits of nitre,severe anoxic metabolic acidosis
carnitine,Hepatotoxic effects
valproate,Hepatotoxic effects
valproic acid,fatal hepatotoxic effects
valproate,fatal
IL-2,cognitive dysfunction
interleukin-2,neurotoxicity
IL-2,brain injury
IL-2,disability
lithium,thyroid dysfunctions
Lithium,transient thyrotoxicosis
lithium,toxic and immunomodulatory roles
retinoic acid,fatal complication
retinoic acid,retinoic acid syndrome
foscarnet,electrolyte disorders
Foscarnet,severe hypomagnesemia
foscarnet,anxiety
foscarnet,muscle twitches
foscarnet,tremulousness
CPH82,Interference with the cortisol axis
CPH82,hypercortisolism
CPH82,suppression of the endogeneous production of ACTH and cortisol
carbamazepine,movement disorders
CBZ,movement disorders
carbamazepine,tics
CBZ,tics
CBZ,motor tics
CBZ,facial motor tics
acyclovir,coma
acyclovir,nonoliguric renal failure
